country,ISO3,mortality,population
Algeria,DZA,25.5,41318142
Angola,AGO,156.9,29784193
Bahrain,BHR,6.2,1492584
Benin,BEN,99.5,11175692
Botswana,BWA,43.6,2291661
Burkina Faso,BFA,88.6,19193382
Burundi,BDI,81.7,10864245
Cabo Verde,CPV,24.5,546388
Cameroon,CMR,87.9,24053727
Central African Republic,CAF,130.1,4659080
Chad,TCD,138.7,14899994
Comoros,COM,73.5,813912
"Congo, Dem. Rep.",COD,98.3,81339988
"Congo, Rep.",COG,45,5260750
Cote d'Ivoire,CIV,92.6,24294750
Djibouti,DJI,65.3,956985
"Egypt, Arab Rep.",EGY,24,97553151
Equatorial Guinea,GNQ,94.1,1267689
Eritrea,ERI,46.5,104957
Ethiopia,ETH,59.2,104957438
Gabon,GAB,50.8,2025137
"Gambia, The",GMB,68.9,2100568
Ghana,GHA,61.6,28833629
Guinea,GIN,93.7,12717176
Guinea-Bissau,GNB,92.5,1861283
"Iran, Islamic Rep.",IRN,15.5,81162788
Iraq,IRQ,32,38274618
Israel,ISR,4,8712400
Jordan,JOR,17.9,9702353
Kenya,KEN,49.4,49699862
Kuwait,KWT,8.6,4136528
Lebanon,LBN,8.3,6082357
Lesotho,LSO,90.2,2233339
Liberia,LBR,69.9,4731906
Libya,LBY,13.4,6374616
Madagascar,MDG,49.6,25570895
Malawi,MWI,64,18622104
Mali,MLI,114.7,18541980
Malta,MLT,6.4,465292
Mauritania,MRT,84.7,4420184
Mauritius,MUS,13.5,1264613
Morocco,MAR,27.6,35739580
Mozambique,MOZ,78.5,29668834
Namibia,NAM,45.4,2533794
Niger,NER,95.5,21477348
Nigeria,NGA,108.8,190886311
Oman,OMN,11.6,4636262
Qatar,QAT,8,2639211
Rwanda,RWA,41.7,12208407
Sao Tome and Principe,STP,47.3,204327
Saudi Arabia,SAU,14.5,32938213
Senegal,SEN,47.2,15850567
Seychelles,SYC,13.6,95843
Sierra Leone,SLE,120.4,7557212
Somalia,SOM,136.8,14742523
South Africa,ZAF,40.5,56717156
South Sudan,SSD,92.6,12575714
Sudan,SDN,70.1,40533330
Swaziland,SWZ,60.7,1367254
Syrian Arab Republic,SYR,12.9,18269868
Tanzania,TZA,48.7,57310019
Togo,TGO,78.4,7797694
Tunisia,TUN,14,11532127
Uganda,UGA,54.6,42862958
United Arab Emirates,ARE,6.8,9400145
West Bank and Gaza,PSE,21.1,4684777
"Yemen, Rep.",YEM,41.9,28250420
Zambia,ZMB,64,17094130
Zimbabwe,ZWE,70.7,16529904
