country,population
Angola,29784193
United Arab Emirates,9400145
Burundi,10864245
Benin,11175692
Burkina Faso,19193382
Bahrain,1492584
Botswana,2291661
Central African Republic,4659080
Cote d'Ivoire,24294750
Cameroon,24053727
"Congo, Dem. Rep.",81339988
"Congo, Rep.",5260750
Comoros,813912
Cabo Verde,546388
Djibouti,956985
Algeria,41318142
"Egypt, Arab Rep.",97553151
Eritrea,
Ethiopia,104957438
Gabon,2025137
Ghana,28833629
Guinea,12717176
"Gambia, The",2100568
Guinea-Bissau,1861283
Equatorial Guinea,1267689
"Iran, Islamic Rep.",81162788
Iraq,38274618
Israel,8712400
Jordan,9702353
Kenya,49699862
Kuwait,4136528
Lebanon,6082357
Liberia,4731906
Libya,6374616
Lesotho,2233339
Morocco,35739580
Madagascar,25570895
Mali,18541980
Malta,465292
Mozambique,29668834
Mauritania,4420184
Mauritius,1264613
Malawi,18622104
Namibia,2533794
Niger,21477348
Nigeria,190886311
Oman,4636262
West Bank and Gaza,4684777
Qatar,2639211
Rwanda,12208407
Saudi Arabia,32938213
Sudan,40533330
Senegal,15850567
Sierra Leone,7557212
Somalia,14742523
South Sudan,12575714
Sao Tome and Principe,204327
Swaziland,1367254
Seychelles,95843
Syrian Arab Republic,18269868
Chad,14899994
Togo,7797694
Tunisia,11532127
Tanzania,57310019
Uganda,42862958
"Yemen, Rep.",28250420
South Africa,56717156
Zambia,17094130
Zimbabwe,16529904
